,지점_start,지점_end,도로명주소_start,도로명주소_end,x,x_start,y,y_start,Distance
168,분당지점,서소문지점,경기도 성남시 분당구 서현로 200,서울특별시 중구 서소문로 115,127.1249586,126.9736346,37.38740829,37.563414,25.87
169,분당지점,도곡지점대치영업단,경기도 성남시 분당구 서현로 200,서울특별시 강남구 남부순환로 2935,127.1249586,127.0613344,37.38740829,37.49399407,15.74
170,분당지점,잠원지점,경기도 성남시 분당구 서현로 200,서울특별시 서초구 강남대로 565,127.1249586,127.020313,37.38740829,37.51222369,20.38
171,분당지점,판교지점,경기도 성남시 분당구 서현로 200,경기도 성남시 분당구 판교역로 152,127.1249586,127.1103068,37.38740829,37.39424541,1.88
172,분당지점,아산지점,경기도 성남시 분당구 서현로 200,충청남도 아산시 번영로234번길 2,127.1249586,127.0164785,37.38740829,36.78369976,88.48
173,분당지점,동탄지점,경기도 성남시 분당구 서현로 200,경기도 화성시 동탄솔빛로 51,127.1249586,127.0730312,37.38740829,37.19363571,27.84
174,분당지점,경산지점,경기도 성남시 분당구 서현로 200,경상북도 경산시 대학로 73,127.1249586,128.7305452,37.38740829,35.83439474,282.5
175,분당지점,성동지점,경기도 성남시 분당구 서현로 200,서울특별시 성동구 성수이로20길 3,127.1249586,127.0571763,37.38740829,37.54373594,22.11
176,분당지점,양산지점,경기도 성남시 분당구 서현로 200,경상남도 양산시 양산역6길 9,127.1249586,129.0270657,37.38740829,35.33755201,358.2
177,분당지점,송도지점,경기도 성남시 분당구 서현로 200,인천광역시 연수구 인천타워대로 99,127.1249586,126.6423042,37.38740829,37.38117862,49.31
178,분당지점,오창지점,경기도 성남시 분당구 서현로 200,충청북도 청주시 청원구 오창읍 중심상업로 47,127.1249586,127.4289545,37.38740829,36.71507656,104.53
179,분당지점,군산지점,경기도 성남시 분당구 서현로 200,전라북도 군산시 월명로 206,127.1249586,126.7161171,37.38740829,35.96231797,188.48
